X,Y,OBJECTID,PNT,CTGY,Y_WGS_84,X_WGS_84,HGHT,RMRK,SRC,HGHT_SRC,STS
2056428.45961349,-4003586.02340107,1,100M4,3,-48774.49,-3742933.09,0,,19,18,4
2074007.9621598,-4014159.5896348,2,101O6,3,-34121.53,-3751619.21,86.152,,19,25,2
2083690.9615821,-4030540.88465181,3,102BA5,3,-26038.03,-3765133.6,0,,19,18,4
2074614.60306824,-4012709.43490286,4,102DC13,3,-33621.67,-3750417.87,0,DEMOLISHED SEE 282DC13,19,18,1
2076188.12937664,-4011769.59921244,5,103DC14,3,-32316.59,-3749635.84,132.381,,19,18,2
2077795.53772408,-4004976.53341709,6,103N6,3,-30998.9,-3744009.84,0,DEMOLISHED SEE 207N6,19,18,1
2073830.82706272,-4014731.12142529,7,103O6,3,-34267.02,-3752092.46,79.012,,19,18,2
2067351.66987488,-4012819.42926097,8,104DC12,3,-39657.36,-3750532.12,51.437,,19,25,2
2075045.65385566,-4013187.47100942,9,104DC13,3,-33262.05,-3750812.05,111.656,,19,18,2
2076294.73074625,-4012168.69959686,10,104DC14,3,-32226.87,-3749965.71,0,,19,18,4
2076493.09143816,-4021568.30406714,11,104DC19,3,-32035.78,-3757738.04,54.745,,2,18,2
2076298.22399171,-4007036.14786652,12,104N6,3,-32238.35,-3745718.74,154.734,,19,18,2
2073179.92974158,-4015553.42312078,13,104O5,3,-34805.38,-3752774.52,72.523,,19,18,2
2073729.79186101,-4015066.72041614,14,104O6,3,-34349.97,-3752370.33,76.078,,19,18,2
2097498.95037943,-4039135.49975342,15,105B7,3,-14569.45,-3772205.15,0,,19,18,4
2095167.41748166,-4039060.59527691,16,105BB7,3,-16502.77,-3772146.51,33.72,,19,4,4
2069692.2863906,-4014251.79897046,17,105DC12,3,-37707.44,-3751709.03,78.468,,19,1,2
2073926.38973104,-4013609.8672783,18,105DC13,3,-34190.95,-3751164.75,0,Demolished,19,18,1
2067397.5617677,-4019417.34572285,19,105DC17,3,-39596.47,-3755988.4,28.101,DEMOLISHED,19,,1
2073668.7706238,-4015268.10435932,20,105O6,3,-34400.07,-3752537.07,73.126,DEMOLISHED SEE 85DC13,19,18,1
2097587.54811408,-4038952.78091732,21,106B7(62),3,-14496.22,-3772054.23,,Demolished / See 78BB7,0,,1
2096738.14083591,-4037150.69584293,22,106BB7,3,-15202.92,-3770567.86,156.116,,19,18,2
2066566.78685934,-4013821.51206359,23,106DC12,3,-40306.14,-3751363.78,48.229,,19,18,2
2075019.72141768,-4013274.13055192,24,106DC13,3,-33283.35,-3750883.81,109.441,,19,18,1
2076438.61417153,-4012528.94240598,25,106DC14,3,-32106.28,-3750263.32,124.32,,19,18,2
2075489.60463254,-4007702.78648203,26,106N6,3,-32908.8,-3746272.76,194.134,,19,18,2
2073819.87814676,-4015213.08226269,27,106O6,3,-34274.68,-3752491.11,0,DEMOLISHED SEE 211O6,19,18,1
2097435.00667609,-4038900.48225843,28,107B7(62),3,-14622.77,-3772011.26,,Demolished / See 77BB7,0,,1
2066822.67101615,-4014518.07350239,29,107DC12,3,-40091.07,-3751939.03,38.166,,19,18,2
2074602.21474095,-4013295.78084599,30,107DC13,3,-33630.25,-3750902.94,112.274,,19,18,2
2075493.07938402,-4007727.59340964,31,107N6,3,-32905.84,-3746293.28,194.112,,19,18,2
2073925.73256459,-4014855.47845564,32,107O6,3,-34187.79,-3752195.03,81.318,,19,25,2
2074505.12267201,-4013281.09775476,33,108DC13,3,-33710.98,-3750891.08,0,DEMOLISHED SEE 283DC13,19,18,1
2076249.27321101,-4012621.35454833,34,108DC14,3,-32263.38,-3750340.3,0,,19,18,4
2076629.98161006,-4006542.12609577,35,108N6,3,-31963.87,-3745308.93,144.673,,19,18,2
2073972.85772314,-4014583.82878669,36,108O6,3,-34149.44,-3751970.21,81.766,,19,25,2
2093224.59882182,-4037341.3485959,37,109BB7,3,-18116.41,-3770730.38,23.27,,19,4,4
2067034.63427583,-4015076.3103717,38,109DC12,3,-39913,-3752400,0,DEMOLISHED SEE 220DC17,19,18,1
2075719.74431528,-4013044.07665426,39,109DC13,3,-32702.26,-3750691.49,130.447,Demolished / See 55SM35,19,18,1
2077885.80094662,-4013071.16914235,40,109DC14,3,-30902.08,-3750707.88,85.412,,19,18,2
2076136.39540542,-4007675.37368151,41,109N6,3,-32371.11,-3746248.23,166.324,,19,18,2
2074050.01738782,-4014322.49760463,42,109O6,3,-34086.1,-3751753.83,85.068,,19,25,2
2042491.56318936,-4033291.91808354,43,10A3,3,-60210.48,-3767561.47,0,DEMOLISHED,19,18,1
2058453.4781375,-4035367.24646033,44,10A4,3,-46960,-3769200,0,DEMOLISHED,19,18,1
2054239.88154199,-4039311.45625196,45,10AB10,3,-50437.55,-3772473.9,3.198,,19,18,2
2095858.43813997,-4044594.05102261,46,10B7,3,-15922.09,-3776711.46,2.178,Demolished,19,18,1
2067623.5437083,-4028920.38841663,47,10BA2,3,-39376.13,-3763841.12,0,GP L243/1983,12,18,4
2078802.17257099,-4034013.19966308,48,10BA4,3,-30085.55,-3768013.2,19,FILE A7 V6,19,18,2
2082630.28630968,-4029758.71448277,49,10BA5,3,-26920,-3764490,28.45,not surveyed,19,18,5
2074995.82723816,-4036834.89924882,50,10BA8,3,-33234.85,-3770353.41,27.021,MP EXT 105,19,14,2
2077148.19452926,-4038459.50021277,51,10BA9,3,-31445.36,-3771688.33,32.208,DEMOLISHED SEE 14BA9,19,18,1
2097641.88207471,-4036394.53075828,52,10BB7,3,-14454.4,-3769942.46,0,,19,18,4
2099825.83360554,-4037148.60622151,53,10BB8,3,-12642.29,-3770562.36,0,,19,18,4
2057256.73566855,-3973600.93047582,54,10CB10,3,-48210.59,-3718073.19,141.024,DEMOLISHED SEE 168CB10,19,18,1
2053446.23672137,-3991225.79342096,55,10CB24,3,-51309.92,-3732707.71,7.997,PREVIOUSLY 12CB25,0,,2
2052007.86073139,-3967512.29478218,56,10CB4,3,-52615.3,-3713041.09,0,,19,18,4
2054456.58249719,-3995720.67222043,57,10CD5,3,-50449.01,-3736427.75,31.097,,19,3,2
2068862.68737732,-4013434.78262537,58,10DC12,3,-38399.54,-3751035.99,89.678,Demolished,19,18,1
2077965.61968729,-4010154.63415726,59,10DC14,3,-30843.57,-3748294.78,87.542,DEMOLISHED,19,18,1
2069290.97798959,-4021952.64607946,60,10DC17,3,-38015.41,-3758077.82,39.144,,19,18,2
2083256.38617987,-4027443.92212138,61,10DC25,3,-26405.77,-3762576.29,33.572,,19,18,2
2062851.52850711,-4005187.30989052,62,10DC6,3,-43426.11,-3744232.85,16.951,,19,3,2
2065096.27538247,-4002642.13044568,63,10DC7,3,-41568.51,-3742117.46,39.855,,19,3,2
2045782.98101482,-4020966.70488381,64,10F10,3,-57541.76,-3757361.16,54.94,,19,,2
2046109.19581725,-4022149.05531414,65,10F11,3,-57264.94,-3758336.87,17.5,,19,14,2
2045460.87895578,-4023837.35634902,66,10F13,3,-57794.8,-3759735.54,28.623,,19,14,2
2045960.71920008,-4019862.90827106,67,10F8,3,-57399.67,-3756447.76,88.832,,19,,2
2045940.89619444,-4020725.36768993,68,10F9,3,-57411.82,-3757160.86,58.601,,19,,2
2047169.37321921,-4021862.52072373,69,10G10,3,-56385.97,-3758094.75,173.541,,19,14,2
2046537.5968457,-4022720.16396903,70,10G11,3,-56906.36,-3758806.78,98.199,,19,14,2
2046748.83667908,-4023222.40695957,71,10G12,3,-56728.47,-3759220.84,142.935,,19,14,2
2046591.37970566,-4018373.63453316,72,10G7,3,-56883.24,-3755213.29,28.215,,19,,2
2048570.46310655,-4021062.10104539,73,10H10,3,-55226.32,-3757426.26,,,19,21,3
2048952.14533571,-4016803.8243104,74,10H5,3,-54929.71,-3753903.67,46.996,,19,14,2
2050432.81546252,-4020954.53251122,75,10I10,3,-53680.17,-3757328.46,104.513,,19,14,2
2049454.47071843,-4016913.82437948,76,10I5,3,-54511.86,-3753992.23,52.477,,19,14,2
2050248.87047157,-4017298.90496305,77,10I6,3,-53850.08,-3754306.9,21.019,,19,14,2
2050415.72144364,-4018388.74461148,78,10I7,3,-53706.37,-3755207.28,16.392,,19,,2
2050121.64611734,-4019167.9360855,79,10I8,3,-53946.99,-3755852.91,22.099,,19,14,2
2049305.29735554,-4020772.55414117,80,10I9,3,-54617.43,-3757183.37,123.176,,19,,2
2051534.46124062,-4019030.32840355,81,10J7,3,-52774.11,-3755732.54,5.549,TMS F1P160,19,18,2
2051637.49822894,-4019859.21756899,82,10J8,3,-52684.72,-3756417.36,57.848,,19,,2
2051437.94328358,-4020663.6858191,83,10J9,3,-52846.76,-3757083.34,126.722,,19,,2
2053113.13395488,-4026022.92308324,84,10K15,3,-51431.46,-3761505.02,97.502,,19,14,2
2052125.83157381,-4027438.54095431,85,10K16,3,-52244.59,-3762679.15,118.029,,19,14,2
2052283.92033534,-4027947.23862709,86,10K17,3,-52111.06,-3763098.7,152.006,,19,14,2
2053332.37327367,-4034330.68925701,87,10K23,3,-51212.31,-3768366.22,32.664,,19,14,2
2051997.26069984,-4018218.44829665,88,10K7,3,-52393.4,-3755059.13,3.527,,19,14,2
2053350.01159078,-4019532.10373928,89,10K8,3,-51263.82,-3756139.13,24.409,,19,,2
2052283.66770123,-4020374.55147574,90,10K9,3,-52145.69,-3756840.43,106.532,,19,14,2
2054568.26379216,-4025149.56239062,91,10L14,3,-50227.35,-3760776.86,43.254,,19,,2
2054717.35564493,-4026535.43632841,92,10L15,3,-50097.52,-3761921.36,46.337,,19,14,2
2054781.59304755,-4027467.11228998,93,10L16,3,-50040.13,-3762690.85,82.566,,19,14,2
2053907.90906122,-4027783.87194521,94,10L17,3,-50763.9,-3762956.41,144.997,,19,14,2
2054314.08006155,-4033350.43161778,95,10L22,3,-50402.28,-3767552.41,32.687,,19,14,2
2053716.76607957,-4033918.7095051,96,10L23,3,-50895.28,-3768024.32,38.831,,19,14,2
2054358.38467857,-4034988.07020392,97,10L24,3,-50358.32,-3768904.43,23.111,,19,14,2
2053820.99381498,-4038366.75781467,98,10L28,3,-50789.07,-3771696.03,7.792,,19,14,2
2054627.8226789,-4040786.49303169,99,10L30,3,-50109.42,-3773689.52,,DEMOLISHED,19,,1
2053979.69169931,-4045163.14125424,100,10L35,3,-50627.36,-3777303.48,50.793,,19,14,2
2052994.18590863,-3992200.43528973,101,10L4,3,-51681.95,-3733517.46,4.409,,19,11,2
2053737.06563444,-4018341.34404658,102,10L7,3,-50947.62,-3755152.88,7.514,,19,14,2
2054057.01857321,-4019836.85765775,103,10L8,3,-50675.24,-3756387.93,34.054,,19,,2
2054315.04583931,-4020007.52076956,104,10L9,3,-50460.18,-3756527.88,45.054,,19,,2
2055185.13554875,-4021154.49943593,105,10M10,3,-49732.55,-3757472.25,0,DEMOLISHED,19,18,1
2055994.0528629,-4022299.41792304,106,10M11,3,-49055.87,-3758415.14,30.627,,19,,2
2055604.77218402,-4023250.85084943,107,10M12,3,-49375.03,-3759203.2,0,DEMOLISHED,19,18,1
2055960.10439303,-4024713.73412463,108,10M13,3,-49073.73,-3760410.65,18.142,,19,,2
2055954.85952201,-4025453.08267086,109,10M14,3,-49074.92,-3761021.64,26.435,,19,14,2
