google_address,google_place_id,google_latitude,google_longitude,google_rating,google_primary_type,google_open_now,google_monday_hours,google_tuesday_hours,google_wednesday_hours,google_thursday_hours,google_friday_hours,google_saturday_hours,google_sunday_hours,x,y,feature_x,feature_y,nearest_x,nearest_y
"38 Wale St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJiUPdAIpnzB0Rtd5cyr5piao,-33.9234621,18.4183206,5,real_estate_agency,1,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,Closed,8:00 AM – 5:00 PM,Closed,Closed,2050327.61325684,-4018558.64095019,18.4183206,-33.9234621,18.4182469929722,-33.9235616205874
"37 Church St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJbSXHaHJnzB0R8pstCvoS16E,-33.9232775,18.4188399,4.2,restaurant,1,Closed,9:00 AM – 4:00 PM,9:00 AM – 4:00 PM,9:00 AM – 4:00 PM,9:00 AM – 4:00 PM,9:00 AM – 4:00 PM,Closed,2050390.0336005,-4018489.26879862,18.4188399,-33.9232775,18.4189385106499,-33.9231416404673
"60 Church St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJx51RW8DKzR0REV1lDrDOmM4,-33.923052,18.4189079,4.7,art_gallery,1,10:00 AM – 4:00 PM,10:00 AM – 4:00 PM,10:00 AM – 4:00 PM,10:00 AM – 4:00 PM,10:00 AM – 4:00 PM,10:00 AM – 2:00 PM,Closed,2050390.0336005,-4018489.26879862,18.4189079,-33.923052,18.4188758485043,-33.9230961585289
"58 Church St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJ6-OcmulnzB0Rkof7YZEhHaQ,-33.9231382,18.4190091,4.5,art_gallery,1,Closed,10:00 AM – 3:00 PM,10:00 AM – 3:00 PM,10:00 AM – 3:00 PM,10:00 AM – 3:00 PM,10:00 AM – 1:00 PM,Closed,2050390.0336005,-4018489.26879862,18.4190091,-33.9231382,18.4189831078413,-33.9231740103566
"35 Church St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJ7er_HFZnzB0RhOxM4OhLDMo,-33.92334,18.41891,4.3,,1,10:00 AM – 5:00 PM,10:00 AM – 5:00 PM,10:00 AM – 5:00 PM,10:00 AM – 5:00 PM,10:00 AM – 5:00 PM,10:00 AM – 1:00 PM,Closed,2050390.0336005,-4018489.26879862,18.41891,-33.92334,18.4190141343486,-33.9231965302637
"56 Church St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJ-wY-UGRnzB0Rol2JZqOFkkY,-33.92301,18.41912,4.3,art_gallery,1,9:30 AM – 5:00 PM,9:30 AM – 5:00 PM,9:30 AM – 5:00 PM,9:30 AM – 5:00 PM,9:30 AM – 5:00 PM,10:00 AM – 1:30 PM,Closed,2050390.0336005,-4018489.26879862,18.41912,-33.92301,18.4189947980079,-33.9231824954066
"33 Church St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJ093ET2RnzB0RrI3OolwRLl8,-33.9233817,18.4191575,4.4,restaurant,0,12:00 – 10:00 PM,12:00 – 10:00 PM,12:00 – 10:00 PM,12:00 – 10:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 9:00 PM,2050390.0336005,-4018489.26879862,18.4191575,-33.9233817,18.41919618965,-33.9233281833649
"25 Church St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJAyx9am5nzB0RGydlMcRYx4Y,-33.9236,18.41939,4.7,art_gallery,1,10:00 AM – 5:00 PM,10:00 AM – 5:00 PM,10:00 AM – 5:00 PM,10:00 AM – 5:00 PM,10:00 AM – 5:00 PM,10:00 AM – 3:00 PM,Closed,2050464.98733155,-4018554.88865016,18.41939,-33.9236,18.4194525290139,-33.9235143523827
"9 Church St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJ3yJQ9WRnzB0R8bEd41qkNks,-33.9240863,18.4201467,4.4,grocery_store,0,6:27 PM – 12:00 AM,6:27 PM – 12:00 AM,6:27 PM – 12:00 AM,6:27 PM – 12:00 AM,6:27 PM – 12:00 AM,Open 24 hours,Open 24 hours,2050540.29881509,-4018621.60936896,18.4201467,-33.9240863,18.4201746677007,-33.9240428205219
"9 Church St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJ3yJQ9WRnzB0R8bEd41qkNks,-33.9240863,18.4201467,4.4,grocery_store,0,6:27 PM – 12:00 AM,6:27 PM – 12:00 AM,6:27 PM – 12:00 AM,6:27 PM – 12:00 AM,6:27 PM – 12:00 AM,Open 24 hours,Open 24 hours,2050540.29881509,-4018621.60936896,18.4201467,-33.9240863,18.4201746677007,-33.9240428205219
